energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.845,0.0501,114.972,0.0454,0.00142,0.424,4,0.74,9,202997,-8.913,0.975,0,audio_features,spotify:track:2Vhu5QqQsXwUuZQ1QxZGCM
0.46,0.194,85.022,0.214,0.156,0.08,4,0.761,4,284000,-11.334,0.311,0,audio_features,spotify:track:1IEHI3MNwmQ1uIvygMBHYS
0.819,0.0728,120.007,0.0413,0.00442,0.957,4,0.58,8,344158,-8.177,0.321,1,audio_features,spotify:track:7EE7jbv7Dv8ZkyWBlKhPXX
0.679,0.13,148.407,0.612,0.628,2.61e-05,3,0.417,0,148613,-8.356,0.566,0,audio_features,spotify:track:0uwKPsBtIqvMpU6SHiee5C
0.823,0.0801,169.961,0.0597,0.35,0.039,4,0.629,1,223773,-5.744,0.397,1,audio_features,spotify:track:3zTqNXUMKnaU4hBJbheSxy
0.482,0.313,109.968,0.0312,0.075,0.671,4,0.752,0,253108,-12.355,0.416,0,audio_features,spotify:track:6b7z3keZ5gDJ2zBnyrke9P
0.706,0.222,113.994,0.0269,0.00114,0.00255,4,0.626,0,326521,-7.333,0.378,1,audio_features,spotify:track:5KDVubXIvjwQjAGVlk2DnD
0.734,0.0622,127.973,0.0463,0.0688,0.743,4,0.661,9,275875,-7.205,0.788,1,audio_features,spotify:track:5N6klXjMYd71I0sfE4qfM8
0.443,0.162,112.001,0.0349,0.744,0.555,4,0.706,10,267693,-8.422,0.376,1,audio_features,spotify:track:3wQ2F1MjiNMENmvy4xUeXy
0.765,0.112,121.994,0.0386,0.121,0.908,4,0.709,7,318075,-9.782,0.567,0,audio_features,spotify:track:4QfMUPyVRurqeIH1k4a9Ky
0.45,0.193,85.053,0.0748,0.61,0.778,4,0.704,1,183609,-9.908,0.507,1,audio_features,spotify:track:3CwK0oEtu9bCl0R5nuMzjx
0.752,0.0678,172.241,0.0547,0.000163,0.677,4,0.362,8,192080,-4.589,0.466,1,audio_features,spotify:track:6IE47jpPeatF2Iay7GZtEc
0.634,0.0578,172.004,0.0395,0.0711,0.859,4,0.542,4,285000,-9.062,0.537,0,audio_features,spotify:track:3BQ6u88dG7Adpjfi6esJCM
0.615,0.69,120.001,0.0337,0.000642,0.87,4,0.663,6,360000,-10.989,0.547,0,audio_features,spotify:track:3OZMllaMRIr27FNHDO8rJ9
0.576,0.056,113.999,0.0347,0.00491,0.343,4,0.59,2,408000,-7.757,0.227,0,audio_features,spotify:track:0ydnN6biA3BpUfOOQiKCZ5
0.572,0.168,98.009,0.0298,0.131,0.927,4,0.629,11,230807,-9.018,0.119,0,audio_features,spotify:track:3bVCyM5RtJ2MSDB6XHdWOF
0.52,0.0899,172.051,0.0556,0.00478,0.84,4,0.623,2,184000,-7.926,0.172,1,audio_features,spotify:track:5BmoDRaImvF5IKHw6Q7E91
0.768,0.153,161.935,0.0297,0.00634,0.00154,4,0.527,0,331744,-8.28,0.649,1,audio_features,spotify:track:4jEy6jXHWcOKXsVfIV5lR2
0.82,0.37,109.99,0.0416,0.00725,0.875,4,0.612,2,195293,-8.919,0.25,1,audio_features,spotify:track:0nUK0EW6SA2ILwuhuKQwf1
0.541,0.114,156.262,0.0827,0.286,0.584,4,0.384,8,270844,-6.738,0.283,1,audio_features,spotify:track:1e0q4nw8UUQXdgdN1gBr3a
0.708,0.105,94.987,0.244,0.00129,0.445,4,0.755,7,199680,-7.453,0.382,1,audio_features,spotify:track:6vjuooc7Kd1XGV0kz4PESl
0.725,0.127,107.009,0.047,0.0276,0.831,4,0.614,10,203038,-9.177,0.852,0,audio_features,spotify:track:4e1q9c8TdnDnsOZABxi0bT
0.91,0.116,161.168,0.104,0.937,0.914,5,0.364,7,203616,-6.826,0.963,1,audio_features,spotify:track:7l7RFSe8pTzQYhxqoYxbG0
0.647,0.0936,173.488,0.0545,0.279,0.834,4,0.651,4,172252,-7.794,0.654,0,audio_features,spotify:track:4sbLVYB8UQLeXcS1GQMXYN
0.75,0.408,97.691,0.0494,0.000594,0.589,4,0.566,1,212511,-6.997,0.492,1,audio_features,spotify:track:2M0ede6HqT59IoCmCiC2Gx
0.772,0.358,112.982,0.0338,0.00145,0.0914,4,0.541,0,300000,-9.755,0.52,1,audio_features,spotify:track:0Y17CMvUrF0BRXHqAmVGxo
0.628,0.231,172.176,0.0447,0.124,0.85,4,0.612,1,265133,-7.82,0.366,1,audio_features,spotify:track:1afuAgWlDOD48Ue3B3XjJu
0.538,0.0623,141.954,0.064,0.000313,0.0093,4,0.66,6,314198,-8.991,0.209,1,audio_features,spotify:track:4uXzXJZ6p3RC4YEuqOFgnU
0.955,0.322,179.856,0.0814,0.000905,0.835,4,0.505,1,216373,-4.84,0.655,0,audio_features,spotify:track:5gUhWFZCwtxk78xGfAluBQ
0.556,0.163,180.027,0.0654,0.153,0.59,4,0.603,8,204640,-9.863,0.514,1,audio_features,spotify:track:0I74hVw1WxIayHNGxnBqQn
0.695,0.097,160.001,0.0313,0.084,0.63,4,0.556,2,208747,-7.691,0.617,1,audio_features,spotify:track:1x1AdzmmtL1d8EK2aIH6Mt
0.878,0.341,89.969,0.0449,0.00441,0.421,4,0.207,4,287667,-7.212,0.138,1,audio_features,spotify:track:6eNYsU7sfgxQHTvILQxbce
0.456,0.203,96.969,0.0547,0.00393,0.875,4,0.695,1,183093,-7.575,0.67,1,audio_features,spotify:track:2TICd39bwJq5jcUzxrVa6T
0.518,0.102,132.37,0.0326,0.708,0.664,4,0.212,5,228093,-8.263,0.196,0,audio_features,spotify:track:6DVqOQyW3fWg5yh6sNNnd6
0.707,0.0788,119.974,0.128,0.761,0.874,4,0.716,0,335070,-7.543,0.837,0,audio_features,spotify:track:1GDDLsIf4OaKGuJnITa2yS
0.714,0.07,124.958,0.108,0.0106,0.00227,4,0.608,3,251564,-11.893,0.171,1,audio_features,spotify:track:6MDvJqc6GqRWgFu4fqGP0L
0.529,0.0895,155.974,0.0338,0.115,0.901,4,0.697,2,251267,-8.838,0.486,1,audio_features,spotify:track:4P6n0udLAnmCNXVcobYbsK
0.677,0.241,166.04,0.034,0.0764,0.0698,4,0.611,10,255320,-6.745,0.233,0,audio_features,spotify:track:4sCYKMatyhazyy6r2N7Hp2
